S&P 500 Index | Index Constituents Analysis                                25-Oct-2020 17:25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Index Constituents Analysis,,,,,,,,,,,,,,,
"Report: Summary ,Currency: USD",,,,,,,,,,,,,,,
1 - 505 of 505,,,,,,,,,,,,,,,
Name,RIC,ACT_FLAG1,Last,PE,Est. PE,EPS,Ccy,DPS,Ccy,Div. Yld (%),ROE (%),P/Book,P/Sales,Weight %,Mcap
Boeing Co,BA.N,,167.36 c,--,-16.97,-1.12,USD,0.00,USD,0.00,--,--,1.11,--,"94,466,140,791.68"
Morgan Stanley,MS.N,,51.87 c,9.99,9.13,5.19,USD,1.40,USD,2.70,11.18,1.15,1.74,--,"93,872,982,981.96"
Citigroup Inc,C.N,,43.95 c,5.47,10.62,8.04,USD,2.04,USD,4.64,--,0.47,1.23,--,"91,497,962,091.30"
Caterpillar Inc,CAT.N,,168.59 c,16.17,32.42,10.42,USD,4.12,USD,2.44,41.32,6.26,1.70,--,"91,292,593,479.25"
Fidelity National Information Services Inc,FIS.N,,144.4 c,218.54,26.25,0.66,USD,1.40,USD,0.97,1.00,1.81,8.66,--,"89,470,742,800.80"
Intuit Inc,INTU.OQ,,334.42 c,48.35,39.48,6.92,USD,2.36,USD,0.71,41.24,17.15,11.40,--,"87,553,565,161.68"
Intuitive Surgical Inc,ISRG.OQ,,735.48 c,63.72,75.86,11.54,USD,--,--,--,18.46,10.46,19.31,--,"86,459,707,372.32"
Estee Lauder Companies Inc,EL.N,,235.23 c,126.18,48.65,1.86,USD,1.92,USD,0.82,16.44,21.59,5.94,--,"84,966,660,744.51"
Stryker Corp,SYK.N,,221.9 c,40.47,34.84,5.48,USD,2.30,USD,1.04,16.98,6.50,5.60,--,"83,296,484,046.30"
S&P Global Inc,SPGI.N,,337.43 c,39.24,30.24,8.60,USD,2.68,USD,0.79,383.56,169.77,12.14,--,"81,320,630,000.00"
American Express Co,AXP.N,,100.98 c,12.64,29.66,7.99,USD,1.72,USD,1.70,29.80,3.52,1.80,--,"81,305,169,998.58"
Mondelez International Inc,MDLZ.OQ,,56.61 c,21.30,21.86,2.66,USD,1.26,USD,2.23,14.66,2.97,3.13,--,"80,858,233,653.84"
Target Corp,TGT.N,,160.23 c,25.27,22.16,6.34,USD,2.72,USD,1.70,28.27,6.78,1.03,--,"80,213,997,144.12"
CVS Health Corp,CVS.N,,60.25 c,11.85,8.33,5.08,USD,2.00,USD,3.32,10.87,1.23,0.31,--,"78,849,382,862.50"
Anthem Inc,ANTM.N,,310.76 c,16.83,13.87,18.47,USD,3.80,USD,1.22,--,2.46,0.75,--,"78,158,146,888.08"
Zoetis Inc,ZTS.N,,163.49 c,52.51,44.91,3.11,USD,0.80,USD,0.49,61.31,28.69,12.41,--,"77,681,407,656.96"
